song, artist         num_plays
Tiki-Taka (99%), Weki Meki          12
In & Out, Red Velvet          12
pporappippam, SUNMI          12
Really Really, Cherry Bullet          12
Wow Thing, SEULGI          12
Shine, PENTAGON          12
To Reach You, Memory Fabricators          12
Heroine, SUNMI          12
Ah Yeah, EXID          12
NoNoNo, Apink          12
Monster, Red Velvet - IRENE & SEULGI          12
Blue Hour, TOMORROW X TOGETHER          12
Dolphin, OH MY GIRL          12
행복했던 날들이었다 days gone by, DAY6          12
Blue Lemonade, Red Velvet          12
Miniskirt, AOA          12
Excuse Me, AOA          12
WoW!, Lovelyz          12
I don't Know, Apink          12
Confused, AOA          12
I Feel You, Wonder Girls          12
DALLA DALLA, ITZY          12
Lucky Like That, Girls' Generation          12
Lovin' It, Ariana Grande          12
Oh!, Girls' Generation          11
Pushin' N Pullin', Red Velvet          11
bugAboo, bugAboo          11
Rumor, H.I.N.P (Hot Issue of Ntl. Producers)          11
Darling, Girl's Day          11
Make you happy, NiziU          11
Secret Garden, OH MY GIRL          11
Rookie, Red Velvet          11
Swimming Pool, Red Velvet          11
Not That Type, gugudan          11
Rollin' Rollin', Love Potion          11
I'm so sick, Apink          11
Roller Coaster, CHUNG HA          11
I'll be yours, Girl's Day          11
Hurt Locker, 9MUSES          11
Dally (feat. GRAY), Hyolyn          11
CHEER UP, TWICE          11
Red Light, f(x)          11
샴페인 Champagne - U-Know Solo, TVXQ!          11
Look, Red Velvet          11
Butter, BTS          10
You can't sit with us, SUNMI          10
Better Be, Red Velvet          10
유로파 Europa, Girls' Generation          10
Wait a Minute, Girls' Generation          10
You Better Know, Red Velvet          10
1000%, SummerWish          10
I LOVE YOU, TREASURE          10
Got That Boom, SECRET NUMBER          10
Marionette, Stellar          10
Into You (feat. Fabolous), Tamia          10
LIAR LIAR (Korean Version), OH MY GIRL          10
I Like U, NIKI          10
Don't Know What To Do, BLACKPINK          10
Wig, Todrick Hall          10
What You Waiting For, JEON SOMI          10
Baby I, Ariana Grande          10
Selfish, YooA          10
DUMB DUMB, JEON SOMI          9
WANNABE, ITZY          9
I'll Make You Cry, aespa          9
Lucid Dream, aespa          9
Soul, Girls' Generation          9
STEP, KARA          9
Holiday, Girls' Generation          9
IAM, 오전 1:00          9
러시안 룰렛 Russian Roulette, Red Velvet          9
Cold Heart - PNAU Remix, Elton John          9
Candy, BAEKHYUN          9
Will you go out with me, DIA          9
SOME (You'll Be Mine), NATURE          9
Glue, 9MUSES          9
Welcome to Chilis, Yung Gravy          9
Someone like U, Dalshabet          9
Vintage, NIKI          9
Crazy, 4Minute          9
Some Nights, TAEYEON          9
처음인가요 First Time, Red Velvet          9
TANK, NMIXX          9
Can I Love You, Brave Girls          9
FEVER, Brave Girls          9
Taste, Red Velvet          9
What 2 Do, DEAN          8
LA DI DA, EVERGLOW          8
Secret Story of the Swan, IZ*ONE          8
Gone, ROSÉ          8
ICONIC, aespa          8
Gee, Girls' Generation          8
Goodbye, Girls' Generation          8
백허그 Back Hug, Girls' Generation          8
All Night, Girls' Generation          8
JJan! Koong! Kwang!, MOMOLAND          8
No, CLC          8
I (knew it), SONAMOO          8
Banana Allergy Monkey, OH MY GIRL BANHANA          8
When The Cherry Blossoms Fade, I.O.I          8
Now Or Never - Bonus Track, Kendrick Lamar          8
No Scrubs, TLC          8
Apple, GFRIEND          8
첫 사랑니 (Rum Pum Pum Pum), f(x)          8
Crying, Stellar          8
내 친구의 남자친구, DIA          8
A Girl Like Me, gugudan          8
Easy Breezy, Kiana Ledé          8
LALALILALA, APRIL          8
Love Cherry Motion, LOONA          8
Sweet Crazy Love, LOOΠΔ / ODD EYE CIRCLE          8
Why Not?, LOONA          8
SAY MY NAME, Hyolyn          8
Good Luck, AOA          8
Wonderland, gugudan          8
lowkey, NIKI          8
Singing in the Rain, LOONA          8
Toddler, TAEYEON          8
Sunny Side Up!, Red Velvet          8
Overdose, EXO-K          8
Love So Sweet, Cherry Bullet          8
Twinkle, Lovelyz          8
Love Options (inst), BESTie          8
Right There, Ariana Grande          8
You’ll Never Know, Ariana Grande          8
The Way I Are, Timbaland          7
Motivation, Normani          7
How You Like That, BLACKPINK          7
365 FRESH, Triple H          7
On The Ground, ROSÉ          7
Eyes Locked, Hands Locked, Red Velvet          7
aenergy, aespa          7
Way to Go, Girls' Generation          7
Honey, KARA          7
Glass Bead, GFRIEND          7
Chococo, gugudan          7
For you, Lovelyz          7
So What, LOONA          7
Shark, OH MY GIRL          7
I’m So Hot, MOMOLAND          7
STAY (with Justin Bieber), The Kid LAROI          7
Star, LOONA          7
Vibrato, Stellar          7
Shot Clock, Ella Mai          7
Ice Cream (with Selena Gomez), BLACKPINK          7
Future, Red Velvet          7
Holler, Girls' Generation-TTS          7
그 길에서, DIA          7
Obsession, EXO          7
CUPID, KARA          7
News, 9MUSES          7
Your Teeth In My Neck, Kali Uchis          7
ALIEN, LEE SUHYUN          7
Why So Lonely, Wonder Girls          7
10 Seconds, AOA          7
StickySticky, HELLOVENUS          7
All Too Well (10 Minute Version) (Taylor's Version) (From The Vault), Taylor Swift          7
CRY FOR ME, TWICE          7
As If It's Your Last, BLACKPINK          7
Time To Love, Red Velvet          7
Carpool, Red Velvet          7
Drive, MIYEON          7
Potion (with Dua Lipa & Young Thug), Calvin Harris          7
Long Way 2 Go, Cassie          7
WINDY DAY, OH MY GIRL          7
Perfect 10, Red Velvet          7
Lady's Room, Red Velvet          7
Every night, EXID          7
Emotions, Mariah Carey          6
Umbrella, Rihanna          6
Girls' Generation, Girls' Generation          6
Into the New World, Girls' Generation          6
Lion Heart, Girls' Generation          6
Baby Maybe, Girls' Generation          6
PARTY, Girls' Generation          6
Hotel Room Service, Pitbull          6
HELICOPTER, CLC          6
Heat Waves, Glass Animals          6
I Wish, WJSN          6
Promiscuous, Nelly Furtado          6
Touch My Body, Mariah Carey          6
SAPPY, Red Velvet          6
Thumbs Up, MOMOLAND          6
No Oh Oh, CLC          6
Where Is The Love?, Black Eyed Peas          6
Sting, Stellar          6
God’s Menu, Stray Kids          6
아드레날린 (Adrenaline), Girls' Generation-TTS          6
Aloha Oe, Cherry Bullet          6
마지막 첫사랑 My First and Last, NCT DREAM          6
COOL, Weki Meki          6
NEON, YUKIKA          6
Dolls, 9MUSES          6
Mine, Taylor Swift          6
Eclipse, LOONA          6
Strip (feat. Sharaya J), Little Mix          6
Figaro, 9MUSES          6
Sugar Free - BigRoom Version, T-ARA          6
Dingga, MAMAMOO          6
My Second Date, Red Velvet          6
