artist         num_plays
Carlie Hanson          5
Lindsay Lohan          5
Dwayne Johnson          5
John Williams          5
Yoshihiro Koseki          5
B.A.P          5
Big Time Rush          5
The Melomen          5
Highlight          5
DNCE          5
PLAYBACK          4
Tegan and Sara          4
Andy Williams          4
Khalid          4
Trevor Wesley          4
Luna, Hani, Solar          4
Kill Them With Colour          4
SUPER JUNIOR          4
Vizzionz          4
Timeflies          4
The Fray          4
Sonna          4
cupcakKe          4
Suzy          4
Lily James          4
Camila Cabello          4
R. Kelly          4
Sam Kim          4
LeeHi          4
Idina Menzel          4
Anime Kei          4
Quinn XCII          4
Panic! At The Disco          4
Andy Grammer          4
Julie Fowlis          4
Mice Chorus          4
Jodi Benson          4
NCT          4
Susan Egan          4
MIKA          4
Buddy Baker          4
Big Sean          4
Olivia Foa'i          4
Emily Burns          4
ayokay          4
Gallant          4
Kiriko          4
Night Tempo          4
Perry Como          4
Lupe Fiasco          4
Ella Fitzgerald          4
Marc E. Bassy          4
Berhana          4
Amy Winehouse          4
Bruce Adler          4
Why Don't We          4
B.o.B          4
Pat Carroll          4
Bruce Broughton          4
John Mayer          4
Chorus - Pocahontas          3
Mac Ayres          3
LIM JIMIN          3
Mark Keali'i Ho'omalu          3
Salt-N-Pepa          3
DPR IAN          3
Jesse Corti          3
Kathryn Beaumont          3
The Ready Set          3
HIGH4          3
The Minions          3
AJR          3
Tiffany Day          3
Mary Costa          3
Jim Carmichael          3
The Ronettes          3
Raiden          3
Judy Kuhn          3
Nikki Blonsky          3
The Jackson 5          3
Luke Chiang          3
The Citizens of Halloween          3
Roger Bart          3
Lee Jin Ah          3
Keith Ferreira          3
*NSYNC          3
POP! CORN          3
Chorus - Bambi          3
mxmtoon          3
Dickie Jones          3
The Mellomen          3
Lost Frequencies          3
Diddy - Dirty Money          3
Kuana Torres Kahele          3
Lin-Manuel Miranda          3
Sam Smith          3
Upper          3
CODE KUNST          3
Nathan Lane          3
Neon Trees          3
ONEWE          3
John OFA Rhee          3
BRONSON          3
Jason Weaver          3
B.I          3
KYLE          3
Donny Osmond          3
Phillip Phillips          3
Alec Benjamin          3
Bobby Driscoll          3
Colbie Caillat          3
BENEE          3
INFINITE          3
Jim Cummings          3
Jemaine Clement          3
Major Lazer          3
Ship's Chorus          3
Chorus - Dumbo          3
EASHA          3
LIONAIRE          3
George Bruns          3
The Disneyland Children's Chorus          3
Emma Thompson          3
Afrojack          3
CHEEZE          3
Linkin Park          3
Vallis Alps          3
ooi          3
Chorus - Hercules          3
DOYOUNG          3
Yung Bae          3
Danny DeVito          3
